[9/25/2023 9:16:37 PM] [INFO] received Windows console close event; shutting log-core down
[9/25/2023 9:20:55 PM] [INFO] received Windows console close event; shutting log-core down
[9/25/2023 9:21:29 PM] [INFO] received Windows console close event; shutting log-core down
[9/25/2023 9:25:57 PM] [INFO] received Windows console close event; shutting log-core down
[9/25/2023 9:26:20 PM] [INFO] received Windows console close event; shutting log-core down
[9/25/2023 9:28:08 PM] [INFO] received Windows console close event; shutting log-core down
[9/25/2023 9:29:39 PM] [INFO] received Windows console close event; shutting log-core down
[9/25/2023 10:06:10 PM] [INFO] received Windows console close event; shutting log-core down
[9/25/2023 10:41:06 PM] [INFO] received Windows console close event; shutting log-core down
[9/25/2023 10:44:31 PM] [INFO] received Windows console close event; shutting log-core down
[9/25/2023 10:45:02 PM] [INFO] received Windows console close event; shutting log-core down
[9/25/2023 10:49:58 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 3:21:40 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 3:24:59 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 3:29:18 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 3:29:53 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 3:32:49 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 3:33:32 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 3:41:48 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 4:13:48 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 4:15:46 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 4:48:17 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 4:49:08 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 4:50:56 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 4:52:57 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 4:56:02 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 4:56:18 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 5:00:03 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 5:05:57 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 5:06:15 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 5:10:18 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 5:15:04 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 5:39:57 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 5:54:13 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 5:57:27 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 5:59:09 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 6:05:26 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 6:11:01 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 6:11:23 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 6:14:48 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 6:15:06 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 6:20:38 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 6:21:15 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 6:34:27 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 6:35:24 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 6:47:52 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 7:32:32 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 7:43:55 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 7:44:15 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 7:46:57 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 7:59:28 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 8:00:07 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 8:07:06 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 8:18:21 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 8:27:33 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 8:31:59 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 8:39:56 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 8:42:54 PM] [INFO] received Windows console close event; shutting log-core down
[9/26/2023 8:57:16 PM] [INFO] received Windows console close event; shutting log-core down
[9/27/2023 3:52:06 PM] [INFO] received Windows console close event; shutting log-core down
[9/27/2023 4:28:34 PM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[9/27/2023 4:40:44 PM] [INFO] received Windows console close event; shutting log-core down
[9/27/2023 4:42:15 PM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[9/27/2023 4:46:06 PM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[9/27/2023 4:48:40 PM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[9/27/2023 4:51:09 PM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[9/27/2023 4:56:26 PM] [INFO] received Windows console close event; shutting log-core down
[9/27/2023 4:56:39 PM] [INFO] received Windows console close event; shutting log-core down
[9/27/2023 4:59:48 PM] [INFO] received Windows console close event; shutting log-core down
[9/27/2023 6:18:15 PM] [INFO] received Windows console close event; shutting log-core down
[9/27/2023 6:24:19 PM] [INFO] received Windows console close event; shutting log-core down
[9/27/2023 6:29:57 PM] [INFO] received Windows console close event; shutting log-core down
[9/27/2023 6:33:01 PM] [INFO] received Windows console close event; shutting log-core down
[9/27/2023 6:46:46 PM] [INFO] received Windows console close event; shutting log-core down
[9/27/2023 6:47:28 PM] [INFO] received Windows console close event; shutting log-core down
[9/27/2023 8:17:10 PM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[9/27/2023 8:18:39 PM] [INFO] received Windows console close event; shutting log-core down
[9/27/2023 8:19:23 PM] [INFO] received Windows console close event; shutting log-core down
[9/27/2023 8:22:56 PM] [INFO] received Windows console close event; shutting log-core down
[9/27/2023 8:23:31 PM] [INFO] received Windows console close event; shutting log-core down
[9/27/2023 8:33:46 PM] [INFO] received Windows console close event; shutting log-core down
[9/28/2023 1:36:51 AM] [INFO] received Windows console close event; shutting log-core down
[9/28/2023 1:22:22 PM] [INFO] received Windows console close event; shutting log-core down
[9/28/2023 1:25:13 PM] [ERROR] exception 0X80000001 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[9/28/2023 1:27:07 PM] [ERROR] exception 0X80000001 (<unknown>) from Unhandled Exception Handler catched; shutting log-core down
[9/28/2023 1:51:24 PM] [INFO] received Windows console close event; shutting log-core down
[9/28/2023 2:42:34 PM] [INFO] received Windows console close event; shutting log-core down
[9/28/2023 6:43:08 PM] [INFO] received Windows console close event; shutting log-core down
[9/28/2023 6:43:19 PM] [INFO] received Windows console close event; shutting log-core down
[9/28/2023 6:43:32 PM] [INFO] received Windows console close event; shutting log-core down
[9/28/2023 6:47:11 PM] [INFO] received Windows console close event; shutting log-core down
[9/28/2023 6:48:51 PM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[9/28/2023 6:55:25 PM] [INFO] received Windows console close event; shutting log-core down
[9/28/2023 6:55:58 PM] [INFO] received Windows console close event; shutting log-core down
[9/28/2023 6:57:37 PM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[9/28/2023 7:02:12 PM] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[9/28/2023 7:15:20 PM] [INFO] received Windows console close event; shutting log-core down
[9/30/2023 9:31:50 AM] [INFO] received Windows console close event; shutting log-core down
[10/8/2023 8:24:33 PM] [INFO] received Windows console close event; shutting log-core down
